CODE,MeanSalience,SumSalience,SmithsS
US01,0.8333333333333334,3.3333333333333335,0.30303030303030304
UF01,0.8333333333333334,5.833333333333334,0.5303030303030304
FF02,0.5,0.5,0.045454545454545456
US02,0.5,1,0.09090909090909091
FF03,0.5,0.5,0.045454545454545456
UF02,0.7777777777777778,2.333333333333333,0.2121212121212121
ST08,1,1,0.09090909090909091
OT02,0.6666666666666666,0.6666666666666666,0.0606060606060606
ST09,0.3333333333333333,0.3333333333333333,0.0303030303030303
UA02,0.6666666666666666,0.6666666666666666,0.0606060606060606
UA01,0.3333333333333333,0.3333333333333333,0.0303030303030303
IL01,1,2,0.18181818181818182
OT01,0.5,1,0.09090909090909091
ST02,0.8333333333333334,2.5,0.22727272727272727
CF01,0.6666666666666666,0.6666666666666666,0.0606060606060606
SA01,0.6666666666666666,1.3333333333333333,0.1212121212121212
ST04,0.7,1.4,0.12727272727272726
NC03,0.5,0.5,0.045454545454545456
OR01,1,1,0.09090909090909091
OR02,0.6666666666666666,0.6666666666666666,0.0606060606060606
SA03,0.3333333333333333,0.3333333333333333,0.0303030303030303
ST10,0.6666666666666666,0.6666666666666666,0.0606060606060606
SA02,0.8,0.8,0.07272727272727274
ST05,0.6,0.6,0.05454545454545454
ST06,0.2,0.2,0.018181818181818184
