actor,betweenness,scaled_betweenness,eigen,scaled_eigen,color_code,keystatus
NC02,48.33333333333333,0.99,0.9999999999999998,0.9999999999999998,NC,Hub
NC03,48.33333333333333,0.99,1,1,NC,Hub
SA01,11,0.2330344827586207,0.5115858042091109,0.48261309530951996,SA,Hub
ST04,11,0.2330344827586207,0.5115858042091109,0.48261309530951996,ST,Hub
NC01,13.333333333333332,0.2803448275862069,0.24582820972553557,0.20109077185372462,NC,Gatekeeper
