CODE,MeanSalience,SumSalience,SmithsS
US01,0.8333333333333334,3.3333333333333335,0.4761904761904762
UF01,0.8333333333333334,5.833333333333334,0.8333333333333334
FF02,0.5,0.5,0.07142857142857142
US02,0.5,1,0.14285714285714285
FF03,0.5,0.5,0.07142857142857142
UF02,0.7777777777777778,2.333333333333333,0.3333333333333333
ST08,1,1,0.14285714285714285
OT02,0.6666666666666666,0.6666666666666666,0.09523809523809523
ST09,0.3333333333333333,0.3333333333333333,0.047619047619047616
UA02,0.6666666666666666,0.6666666666666666,0.09523809523809523
UA01,0.3333333333333333,0.3333333333333333,0.047619047619047616
