actor,degree,betweenness,closeness,eigen,coreness,lbc,SmithsS
FL01,2,2,0.4444444444444444,0.6607355618433098,2,0.6000000000000001,0
IL01,3,16.5,0.6153846153846154,0.9202576763150877,2,0.3076923076923077,1
OT01,2,1.5,0.42105263157894735,0.6839977248729254,2,0.6666666666666666,0.5
FL02,3,13,0.5,0.5736353922409122,1,0.14285714285714288,0
ST01,1,0,0.34782608695652173,0.23625995144216208,1,3,0
FF01,1,0,0.34782608695652173,0.23625995144216208,1,3,0
FL03,4,15,0.5714285714285714,1,2,0.08823529411764706,0
ST02,1,0,0.38095238095238093,0.41186432120098193,1,4,0.25
ST03,1,0,0.38095238095238093,0.411864321200982,1,4,0
