actor,degree,betweenness,closeness,eigen,coreness,harmonic,group,lbc,SmithsS
PA01,3,21.33333333333333,0.4444444444444444,4.3763726060189934e-16,2,10.166666666666668,1.040909090909091,0.24691358024691354,0
UF01,10,134.79999999999998,0.6666666666666666,9.870479628553149e-16,2,15,3.3504329004329003,0.018461538461538463,0.5303030303030304
US01,4,13.866666666666667,0.4166666666666667,5.378017391786843e-16,2,10.25,1.126190476190476,0.2,0.30303030303030304
FF02,1,0,0.3125,1.1886444913520242e-16,1,7,0.75,3,0.045454545454545456
PA02,2,8.5,0.425531914893617,3.197067884759933e-16,2,9.499999999999998,0.7575757575757576,0.8333333333333334,0
US02,2,1,0.3225806451612903,1.0130782943272089e-16,2,7.666666666666666,0.9166666666666665,0.6000000000000001,0.09090909090909091
PA03,1,0,0.40816326530612246,3.315493397156258e-16,1,8.833333333333332,0.5909090909090909,10,0
PA04,1,0,0.40816326530612246,3.3553400166304286e-16,1,8.833333333333332,0.5909090909090909,10,0
PA05,2,2.3333333333333335,0.425531914893617,4.126205376947867e-16,2,9.5,0.6242424242424243,1.4285714285714286,0
PA06,3,27.5,0.4444444444444444,3.116482000876658e-16,2,10.166666666666666,1.1742424242424243,0.20833333333333331,0
FF03,1,0,0.3125,7.069535718293154e-17,1,6.999999999999999,0.75,3,0.045454545454545456
PA07,6,61.033333333333324,0.5128205128205128,4.65611811442734e-16,2,12.166666666666668,2.183766233766234,0.045248868778280535,0
UF02,3,9.333333333333332,0.4,4.205191732629885e-16,2,9.583333333333334,0.8428571428571429,0.4444444444444444,0.2121212121212121
ST08,1,0,0.3448275862068966,1.9107779149989313e-16,1,7.749999999999999,0.6428571428571428,6,0.09090909090909091
OT02,1,0,0.3448275862068966,1.4341907863098674e-16,1,7.749999999999999,0.6428571428571428,6,0.0606060606060606
ST09,1,0,0.3448275862068966,1.8733797498486447e-16,1,7.749999999999999,0.6428571428571428,6,0.0303030303030303
PA08,4,26.033333333333335,0.46511627906976744,4.911212914357898e-16,2,10.833333333333334,1.240909090909091,0.1485148514851485,0
UA02,1,0,0.3225806451612903,1.5422910848226508e-16,1,7.25,0.7,4,0.0606060606060606
PA09,1,0,0.40816326530612246,3.271786326691178e-16,1,8.833333333333332,0.5909090909090909,10,0
PA10,3,22.266666666666666,0.4444444444444444,3.9867273436427773e-16,2,10.166666666666666,1.0909090909090908,0.23255813953488372,0
UA01,1,0,0.3125,1.0258486043812065e-16,1,7,0.75,3,0.0303030303030303
FL01,2,2,0.24719101123595505,0.015677414176558838,2,7.142857142857144,0.9166666666666665,0.6000000000000001,0
IL01,3,65.5,0.3142857142857143,0.03557837671965818,2,9.033333333333333,1.0333333333333332,0.3076923076923077,0.18181818181818182
OT01,2,8.5,0.2894736842105263,0.03353788920747254,2,7.866666666666665,0.8666666666666667,0.6666666666666666,0.09090909090909091
FL02,3,41,0.25287356321839083,0.00899579968513489,1,7.80952380952381,1.5,0.14285714285714288,0
ST01,1,0,0.2037037037037037,0.002040487512185689,1,5.751190476190478,0.75,3,0
FF01,1,0,0.2037037037037037,0.0020404875121857176,1,5.751190476190478,0.75,3,0
NC01,3,21.333333333333332,0.27848101265822783,0.2433650489525851,2,8.469047619047618,1.25,0.2,0
SA01,3,19,0.3548387096774194,0.5088550799131107,2,10.316666666666666,0.7,0.6,0.1212121212121212
ST04,3,19,0.3548387096774194,0.508855079913111,2,10.316666666666666,0.7,0.6,0.12727272727272726
ST07,1,0,0.22,0.05520168975202894,1,6.152380952380953,0.75,3,0
FL03,4,113,0.38596491228070173,0.13217947363624472,2,10.450000000000005,1.5333333333333332,0.11538461538461539,0
ST02,3,112,0.44,0.4836352233234764,2,11.25,0.65,0.7058823529411764,0.22727272727272727
ST03,1,0,0.28205128205128205,0.0299818331623949,1,7.199999999999999,0.7,4,0
NC02,9,96.33333333333334,0.44,1,2,13.233333333333333,3.0500000000000003,0.02127659574468085,0
CF01,1,0,0.30985915492957744,0.22682669508054087,1,8.233333333333333,0.6,9,0.0606060606060606
NC03,9,96.33333333333334,0.44,0.9999999999999996,2,13.233333333333333,3.0500000000000003,0.02127659574468085,0.045454545454545456
OR01,1,0,0.30985915492957744,0.22682669508054104,1,8.233333333333333,0.6,9,0.09090909090909091
OR02,1,0,0.30985915492957744,0.22682669508054104,1,8.233333333333333,0.6,9,0.0606060606060606
SA03,1,0,0.30985915492957744,0.2268266950805408,1,8.233333333333333,0.6,9,0.0303030303030303
ST10,1,0,0.30985915492957744,0.22682669508054082,1,8.233333333333333,0.6,9,0.0606060606060606
SA02,1,0,0.30985915492957744,0.22682669508054107,1,8.233333333333333,0.6,9,0.07272727272727274
ST05,1,0,0.30985915492957744,0.22682669508054099,1,8.233333333333333,0.6,9,0.05454545454545454
ST06,1,0,0.30985915492957744,0.22682669508054104,1,8.233333333333333,0.6,9,0.018181818181818184
