actor,betweenness,scaled_betweenness,eigen,scaled_eigen,color_code,keystatus
NC01,21.333333333333332,0.19501474926253687,0.2433650489525853,0.24181798802518684,NC,Hub
NC02,96.33333333333334,0.8454572271386431,1,1,NC,Hub
NC03,96.33333333333334,0.8454572271386431,0.9999999999999992,0.9999999999999992,NC,Hub
SA01,19,0.17477876106194692,0.5088550799131111,0.5078508557300955,SA,Hub
ST02,112,0.9813274336283185,0.483635223323477,0.48257943311820667,ST,Hub
ST04,19,0.17477876106194692,0.5088550799131112,0.5078508557300956,ST,Hub
FL02,41,0.36557522123893804,0.008995799685134885,0.0069695334188561095,FL,Gatekeeper
FL03,113,0.99,0.13217947363624488,0.13040507605327148,FL,Gatekeeper
IL01,65.5,0.5780530973451328,0.035578376719658286,0.03360646277509389,IL,Gatekeeper
