actor,betweenness,scaled_betweenness,eigen,scaled_eigen,color_code,keystatus
PA01,21.33333333333333,0.1582591493570722,0.4283659637325711,0.37486873015145,PA,Hub
PA05,2.3333333333333335,0.017309594460929775,0.3990597257974411,0.34281982373136277,PA,Hub
PA06,27.5,0.2040059347181009,0.3271805993713996,0.26421378083070135,PA,Hub
PA07,61.033333333333324,0.45276953511374873,0.6380478116105387,0.6041739700634092,PA,Hub
PA08,26.033333333333335,0.1931256181998022,0.5443336140994685,0.501689388012515,PA,Hub
PA10,22.266666666666666,0.16518298714144414,0.3967369469458448,0.34027966411708044,PA,Hub
UF01,134.79999999999998,1,1,1,UF,Hub
UF02,9.333333333333332,0.06923837784371908,0.41303537024850356,0.358103399950322,UF,Hub
US01,13.866666666666667,0.10286844708209696,0.5256866365091376,0.48129730489584843,US,Hub
