actor,betweenness,scaled_betweenness,eigen,scaled_eigen,color_code,keystatus
FL03,15,0.9009090909090909,1,1,FL,Hub
IL01,16.5,0.99,0.9202576763150877,0.8955897051156492,IL,Hub
FL02,13,0.7821212121212121,0.5736353922409122,0.4417411937946852,FL,Gatekeeper
